date,close,high,low,open,close,volume
2001/12/11,1728.878,1748.975,1726.692,1748.021,1748.682,9127800
2001/12/10,1748.682,1748.968,1730.806,1743.625,1745.407,7386900
2001/12/7,1745.407,1756.474,1743.33,1752.015,1751.182,8245100
2001/12/6,1751.182,1754.768,1737.063,1740.077,1745.227,9694300
2001/12/5,1745.227,1776.019,1745.105,1765.563,1769.681,13622700
2001/12/4,1769.681,1770.357,1754.866,1763.789,1762.562,10210900
2001/12/3,1762.562,1767.438,1750.916,1751.051,1747.993,12308900
2001/11/30,1747.993,1748,1731.964,1732.134,1732.296,12148700
2001/11/29,1732.296,1741.737,1728.886,1735.383,1735,10537600
2001/11/28,1735,1741.665,1725.156,1725.535,1722.589,13331700
2001/11/27,1722.589,1722.62,1704.851,1705.509,1705.885,7839900
2001/11/26,1705.885,1710.132,1695.996,1710.132,1712.564,7893300
2001/11/23,1712.564,1721.968,1704.139,1715.646,1715.813,10254900
2001/11/22,1715.813,1715.926,1700.51,1705.924,1705.664,9541100
2001/11/21,1705.664,1707.927,1690.234,1700.661,1699.732,10728900
2001/11/20,1699.732,1703.74,1670.797,1672.212,1669.894,14353100
2001/11/19,1669.894,1669.987,1644.816,1645.092,1646.763,6853200
2001/11/16,1646.763,1734.673,1644.607,1725.448,1621.344,17699500
2001/11/15,1621.344,1624.813,1612.905,1619.263,1617.102,4447500
2001/11/14,1617.102,1627.972,1614.593,1615.752,1615.931,4801700
2001/11/13,1615.931,1623.452,1598.112,1609.953,1621.195,5573401
2001/11/12,1621.195,1637.325,1619.11,1631.799,1630.359,6005700
2001/11/9,1630.359,1637.903,1582.851,1605.076,1605.871,9657029
2001/11/8,1605.871,1605.899,1550.465,1566.521,1594.05,9157186
2001/11/7,1594.05,1669.46,1591.768,1669.427,1671.278,11914083
2001/11/6,1671.278,1685.519,1668.658,1678.173,1679.572,6735995
2001/11/5,1679.572,1688.309,1671.231,1687.84,1691.351,8749560
2001/11/2,1691.351,1711.742,1688.572,1703.924,1707.754,9625065
2001/11/1,1707.754,1717.736,1688.095,1692.351,1689.17,9547888
2001/10/31,1689.17,1689.17,1655.886,1678.926,1682.769,7731641
2001/10/30,1682.769,1704.483,1680.437,1702.862,1700.477,10310847
2001/10/29,1700.477,1701.124,1678.725,1678.725,1677.878,9509000
